,Time,PorCiento_Uso_Memoria,Promedio_Frecuencia_Proc,Promedio_Temp,Max_Temp,Max_Frecuencia,N,Recur,Hilos
Time,1.0,0.21674273269809602,-0.29580732977589,-0.2370440428691674,0.028576665496599978,0.19501014455080398,0.5133997762876952,-0.32251899247186105,-0.21438682054581581
PorCiento_Uso_Memoria,0.21674273269809602,1.0,-0.09690037955777864,0.26793806487705835,0.46014419841909787,0.36420513770023377,0.8612339023432906,0.2063423313033301,-0.0013646665197000478
Promedio_Frecuencia_Proc,-0.29580732977589,-0.09690037955777864,1.0,0.4547018961638239,0.23844740353027763,0.2145658592183344,-0.09883040841872626,0.03584122241102596,0.5143448566246631
Promedio_Temp,-0.2370440428691674,0.26793806487705835,0.4547018961638239,1.0,0.8559313516441172,0.13796435513390298,0.2911163290580337,0.222892711793828,0.6241567167513576
Max_Temp,0.028576665496599978,0.46014419841909787,0.23844740353027763,0.8559313516441172,1.0,0.301020405014774,0.5005470957741646,0.19277054084044007,0.45540562787476396
Max_Frecuencia,0.19501014455080398,0.36420513770023377,0.2145658592183344,0.13796435513390298,0.301020405014774,1.0,0.42089651002441125,-0.036242088051012734,-0.08896397865200223
N,0.5133997762876952,0.8612339023432906,-0.09883040841872626,0.2911163290580337,0.5005470957741646,0.42089651002441125,1.0,-0.041753862440590955,0.013956720503659243
Recur,-0.32251899247186105,0.2063423313033301,0.03584122241102596,0.222892711793828,0.19277054084044007,-0.036242088051012734,-0.041753862440590955,1.0,-0.00308322197361517
Hilos,-0.21438682054581581,-0.0013646665197000478,0.5143448566246631,0.6241567167513576,0.45540562787476396,-0.08896397865200223,0.013956720503659243,-0.00308322197361517,1.0
