,Time,PorCiento_Uso_Memoria,Promedio_Frecuencia_Proc,Promedio_Temp,Max_Temp,Max_Frecuencia,N,Recur,Hilos
Time,1.0,0.5387024009936681,-0.2460650336367181,0.0366086908868544,0.1756513740636315,0.4302587040582293,0.7328108083759359,-0.29142887808177526,-0.1048942949835574
PorCiento_Uso_Memoria,0.5387024009936681,1.0,-0.24626271732170332,0.247145827943837,0.39336262677882095,0.4093507101227067,0.8184312984649614,0.1772773206652861,0.0023575576230002444
Promedio_Frecuencia_Proc,-0.2460650336367181,-0.24626271732170332,1.0,0.029480032263456843,-0.10150988845209474,-0.2031017557468135,-0.24803124538986937,0.0008494450158149434,0.1996636645690122
Promedio_Temp,0.0366086908868544,0.247145827943837,0.029480032263456843,1.0,0.7512940162621675,-0.036846025129219216,0.2149730481923504,0.18119739637057702,0.5008780492546695
Max_Temp,0.1756513740636315,0.39336262677882095,-0.10150988845209474,0.7512940162621675,1.0,0.12676828047273753,0.3551522679618145,0.18167600853644933,0.3919795151944766
Max_Frecuencia,0.4302587040582293,0.4093507101227067,-0.2031017557468135,-0.036846025129219216,0.12676828047273753,1.0,0.4175701006606123,-0.01913258500736862,-0.2565941597763428
N,0.7328108083759359,0.8184312984649614,-0.24803124538986937,0.2149730481923504,0.3551522679618145,0.4175701006606123,1.0,-0.02804967059517602,0.009873502568194999
Recur,-0.29142887808177526,0.1772773206652861,0.0008494450158149434,0.18119739637057702,0.18167600853644933,-0.01913258500736862,-0.02804967059517602,1.0,-0.003765949753668854
Hilos,-0.1048942949835574,0.0023575576230002444,0.1996636645690122,0.5008780492546695,0.3919795151944766,-0.2565941597763428,0.009873502568194999,-0.003765949753668854,1.0
