Time,N,Hilos,Inicio,Fin,Max_Consumo_Memoria,PorCiento_Uso_Memoria,Promedio_PorCiento_Uso_Proc,Max_PorCiento_Uso_Proc,Promedio_Temp,Max_Temp,Promedio_Frecuencia_Proc,Max_Frecuencia,Nucleos,Tipo_Procesador_Intel(R) Core(TM) i7-3930K,Tipo_Procesador_Intel(R) Core(TM) i7-4930K,Tipo_Procesador_Intel(R) Core(TM) i7-8700,Tipo_Memoria_DDR3,Tipo_Memoria_DDR4,Tipo_Disco_HDD,ESTRATEGIA_OMP_NO_RECURSIVO
-0.5957630517273849,-1.583999665828082,-1.589878105373661,2023-07-16 20:35:10.933,2023-07-16 20:35:11.899,24332,-0.9383112686910838,7.9,7.9,-1.5480285961013944,-1.6222092334548195,0.44764530504573685,0.028129831327952808,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5976854218451922,-1.583999665828082,-1.3006825647326132,2023-07-16 20:35:11.899,2023-07-16 20:35:12.396,25352,-0.9383112686910838,12.1,16.3,-1.451466021808433,-1.670249811989223,0.33797907136451044,-0.08868962708758935,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5983643334625307,-1.583999665828082,-1.0114870240915657,2023-07-16 20:35:12.396,2023-07-16 20:35:12.727,25440,-0.9383112686910838,20.65,24.5,-1.3066366440309505,-1.4780730842366887,0.6058204440515148,0.31325361256382506,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5987097413315396,-1.583999665828082,-0.7222914834505179,2023-07-16 20:35:12.727,2023-07-16 20:35:12.974,25452,-0.9383112686910838,33.4,33.4,-1.2100813115689688,-1.4300325057022851,1.0966265415222611,0.7709470318972278,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.599022127243493,-1.583999665828082,-0.1439004021684224,2023-07-16 20:35:13.170,2023-07-16 20:35:13.340,25472,-0.9383112686910838,43.8,43.8,-1.1135187372760074,-1.3339369350185577,1.0985823724414165,0.7732302300750227,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5984853566419482,-1.583999665828082,0.14529513847262532,2023-07-16 20:35:13.340,2023-07-16 20:35:13.642,25484,-0.9383112686910838,55.5,55.5,-0.8721195433745836,-1.0937052151166993,1.4931229019242713,1.2338090097430008,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5982461030627152,-1.583999665828082,0.43449067911367306,2023-07-16 20:35:13.642,2023-07-16 20:35:14.002,25492,-0.9383112686910838,54.2,54.2,-1.2583553568844699,-1.4780730842366887,0.5738608772736643,0.16068077608940234,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5984352381235449,-1.583999665828082,0.7236862197547208,2023-07-16 20:35:14.002,2023-07-16 20:35:14.316,25504,-0.9383112686910838,39.3,39.3,-1.1617927825915084,-1.381977513552961,1.3059649278143022,1.0153245071909087,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5981843425026565,-1.583999665828082,1.0128817603957685,2023-07-16 20:35:14.316,2023-07-16 20:35:14.691,25516,-0.9383112686910838,50.95,52.1,-1.137655759933758,-1.3339369350185577,1.294810243780877,1.2331566674064898,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5978438936601845,-1.583999665828082,1.3020773010368163,2023-07-16 20:35:14.691,2023-07-16 20:35:15.149,25528,-0.9383112686910838,78.1,78.1,-1.1135187372760074,-1.3339369350185577,1.4926930489750068,1.2333072079456837,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5976184115146791,-1.583999665828082,1.5912728416778639,2023-07-16 20:35:15.149,2023-07-16 20:35:15.662,25540,-0.9383112686910838,83.4,83.4,-1.1617927825915084,-1.381977513552961,0.9017097216780591,0.5434050069035522,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5957413114533262,-1.583999665828082,-1.589878105373661,2023-07-16 20:35:15.662,2023-07-16 20:35:16.634,25540,-0.9383112686910838,17.7666666666667,37.5,-1.1939803073558233,-1.3339369350185577,0.8505070712047867,1.2332570277659531,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5977099180439903,-1.583999665828082,-1.3006825647326132,2023-07-16 20:35:16.634,2023-07-16 20:35:17.125,25616,-0.9383112686910838,13.1,16.2,-1.2583553568844699,-1.4780730842366887,0.42412160239721086,0.08096956058549822,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5983848247662392,-1.583999665828082,-1.0114870240915657,2023-07-16 20:35:17.125,2023-07-16 20:35:17.451,25616,-0.9383112686910838,24.0,24.0,-1.2100813115689688,-1.4300325057022851,0.7034830341245168,0.311999108070531,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.598709737236555,-1.583999665828082,-0.7222914834505179,2023-07-16 20:35:17.451,2023-07-16 20:35:17.698,25616,-0.9383112686910838,32.8,32.8,-1.1617927825915084,-1.381977513552961,1.0972068430037698,0.7716244643236078,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.599051000980993,-1.583999665828082,-0.1439004021684224,2023-07-16 20:35:17.894,2023-07-16 20:35:18.058,25616,-0.9383112686910838,43.5,43.5,-1.016956162983046,-1.2378413643348303,1.0982599827294686,0.7728538787270354,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
-0.5984675352682992,-1.583999665828082,0.14529513847262532,2023-07-16 20:35:18.058,2023-07-16 20:35:18.363,25624,-0.9383112686910838,39.9,39.9,-0.8721195433745836,-1.0937052151166993,1.4929509607445655,1.233608289024074,6,0.0,0.0,1.0,0.0,1.0,1.0,1.0
