,Time,PorCiento_Uso_Memoria,Promedio_Frecuencia_Proc,Promedio_Temp,Max_Temp,Max_Frecuencia,N,Hilos
Time,1.0,0.6960685708907313,-0.3852460771434325,-0.052294331332409585,0.07083841735765575,-0.1938828858323926,0.584079673492564,-0.3295682202314592
PorCiento_Uso_Memoria,0.6960685708907313,1.0,-0.34203300102175427,0.2080062911788629,0.29148097463384554,-0.29352502468170294,0.8355552062551781,0.0005250755596384388
Promedio_Frecuencia_Proc,-0.3852460771434325,-0.34203300102175427,1.0,0.16375731075958264,0.08139071623046058,0.9152711654019475,-0.011437967944461728,0.3718756458876149
Promedio_Temp,-0.052294331332409585,0.2080062911788629,0.16375731075958264,1.0,0.982627233971918,0.10076356743690335,0.3226493747406729,0.2899809949573373
Max_Temp,0.07083841735765575,0.29148097463384554,0.08139071623046058,0.982627233971918,1.0,0.05968926703657402,0.39655098347378237,0.2286198635465693
Max_Frecuencia,-0.1938828858323926,-0.29352502468170294,0.9152711654019475,0.10076356743690335,0.05968926703657402,1.0,0.09597928868899665,0.11812020609234818
N,0.584079673492564,0.8355552062551781,-0.011437967944461728,0.3226493747406729,0.39655098347378237,0.09597928868899665,1.0,0.0009985827580825427
Hilos,-0.3295682202314592,0.0005250755596384388,0.3718756458876149,0.2899809949573373,0.2286198635465693,0.11812020609234818,0.0009985827580825427,1.0
