,Time,PorCiento_Uso_Memoria,Promedio_Frecuencia_Proc,Promedio_Temp,Max_Temp,Max_Frecuencia,N,Hilos
Time,1.0,0.9312950799395826,-0.34810432135279146,0.21778821514694335,0.31119596495067564,-0.11555242438368474,0.9170726462288885,-0.23124162460745906
PorCiento_Uso_Memoria,0.9312950799395826,1.0,-0.3167509360829195,0.2943519051187046,0.36854335253073855,-0.14930841961702648,0.9152350455604258,0.0007360851448608443
Promedio_Frecuencia_Proc,-0.34810432135279146,-0.3167509360829195,1.0,0.12888854895837645,0.04989673880723059,0.8632742524965537,-0.03543474855857489,0.40299870893543316
Promedio_Temp,0.21778821514694335,0.2943519051187046,0.12888854895837645,1.0,0.9774927553520227,0.18851867112079665,0.3346614131239415,0.2909994703121537
Max_Temp,0.31119596495067564,0.36854335253073855,0.04989673880723059,0.9774927553520227,1.0,0.15049546286262533,0.3948873494489679,0.23369962243126552
Max_Frecuencia,-0.11555242438368474,-0.14930841961702648,0.8632742524965537,0.18851867112079665,0.15049546286262533,1.0,0.15199161495597893,0.13296152137011955
N,0.9170726462288885,0.9152350455604258,-0.03543474855857489,0.3346614131239415,0.3948873494489679,0.15199161495597893,1.0,0.000998336453265824
Hilos,-0.23124162460745906,0.0007360851448608443,0.40299870893543316,0.2909994703121537,0.23369962243126552,0.13296152137011955,0.000998336453265824,1.0
