,Time,PorCiento_Uso_Memoria,Promedio_Frecuencia_Proc,Promedio_Temp,Max_Temp,Max_Frecuencia,N,Hilos
Time,1.0,0.8091226001611025,-0.24645511620725397,0.15462966254733712,0.22179826952719417,-0.07301236319087481,0.7798250033932844,-0.16491910246387786
PorCiento_Uso_Memoria,0.8091226001611025,1.0,-0.22977687262721364,0.22180203643347096,0.2799870083318409,-0.1003856652022106,0.8088061890939232,0.0005506162948438347
Promedio_Frecuencia_Proc,-0.24645511620725397,-0.22977687262721364,1.0,0.0991437258906598,0.04140841536328219,0.6629139152458124,-0.02518442564384488,0.3248903702033057
Promedio_Temp,0.15462966254733712,0.22180203643347096,0.0991437258906598,1.0,0.8997723230523296,0.1367965839372447,0.24080716810821404,0.2066340058033044
Max_Temp,0.22179826952719417,0.2799870083318409,0.04140841536328219,0.8997723230523296,1.0,0.11553984891944642,0.28810618473672417,0.16626203486321273
Max_Frecuencia,-0.07301236319087481,-0.1003856652022106,0.6629139152458124,0.1367965839372447,0.11553984891944642,1.0,0.10955613917734154,0.07822100788566651
N,0.7798250033932844,0.8088061890939232,-0.02518442564384488,0.24080716810821404,0.28810618473672417,0.10955613917734154,1.0,0.000727492222920506
Hilos,-0.16491910246387786,0.0005506162948438347,0.3248903702033057,0.2066340058033044,0.16626203486321273,0.07822100788566651,0.000727492222920506,1.0
