,Time,Promedio_Frecuencia_Proc,Max_Temp,Max_Frecuencia,N,Recur,Hilos
Time,1.0,0.5375024474487561,-0.41020509855486037,,0.6598279733795414,0.7744038938283336,-0.000652320472076567
Promedio_Frecuencia_Proc,0.5375024474487561,1.0,-0.5110674367351978,,0.014207638067273527,0.7083769250359832,0.0018057720546994507
Max_Temp,-0.41020509855486037,-0.5110674367351978,1.0,,0.20236968502672326,-0.5462759400018503,-0.04988446699238681
Max_Frecuencia,,,,,,,
N,0.6598279733795414,0.014207638067273527,0.20236968502672326,,1.0,0.3109141198879335,-0.00036135527300715567
Recur,0.7744038938283336,0.7083769250359832,-0.5462759400018503,,0.3109141198879335,1.0,7.956387727148955e-05
Hilos,-0.000652320472076567,0.0018057720546994507,-0.04988446699238681,,-0.00036135527300715567,7.956387727148955e-05,1.0
