,Time,Promedio_Frecuencia_Proc,Max_Temp,Max_Frecuencia,N,Recur,Hilos
Time,1.0,0.28022414303312565,-0.18170036868281603,,0.7669967025643329,0.5006680248925248,-0.0021914858220343295
Promedio_Frecuencia_Proc,0.28022414303312565,1.0,-0.39980450281920193,,0.11019999656089563,0.5660305440126358,0.0007861111738615623
Max_Temp,-0.18170036868281603,-0.39980450281920193,1.0,,0.08614099130196239,-0.4549752234827624,-0.03215973004306616
Max_Frecuencia,,,,1.0,,,
N,0.7669967025643329,0.11019999656089563,0.08614099130196239,,1.0,0.33416647362443325,-0.0003064682311317904
Recur,0.5006680248925248,0.5660305440126358,-0.4549752234827624,,0.33416647362443325,1.0,7.093406907785927e-05
Hilos,-0.0021914858220343295,0.0007861111738615623,-0.03215973004306616,,-0.0003064682311317904,7.093406907785927e-05,1.0
