,Time,Promedio_Frecuencia_Proc,Max_Temp,Max_Frecuencia,N,Recur,Hilos
Time,1.0,0.4013624603975058,-0.23825107664674985,,0.8824017561197682,0.648415274966975,-0.002980280424087839
Promedio_Frecuencia_Proc,0.4013624603975058,1.0,-0.5195179093076908,,0.1477357530075477,0.7131765627210572,0.0010720306857100164
Max_Temp,-0.23825107664674985,-0.5195179093076908,1.0,,0.08795917785192314,-0.5362135656248367,-0.038693902899286245
Max_Frecuencia,,,,,,,
N,0.8824017561197682,0.1477357530075477,0.08795917785192314,,1.0,0.41615948029733135,-0.0003685005369645709
Recur,0.648415274966975,0.7131765627210572,-0.5362135656248367,,0.41615948029733135,1.0,8.84131044903386e-05
Hilos,-0.002980280424087839,0.0010720306857100164,-0.038693902899286245,,-0.0003685005369645709,8.84131044903386e-05,1.0
