,Time,Promedio_Frecuencia_Proc,Max_Temp,Max_Frecuencia,N,Recur
Time,1.0,0.2762344704793109,0.05977788194999362,,0.7781803867795113,0.47338586042538133
Promedio_Frecuencia_Proc,0.2762344704793109,1.0,-0.1639033445879521,,0.12361807945624875,0.54847567796024
Max_Temp,0.05977788194999362,-0.1639033445879521,1.0,,0.2345682576070415,-0.1278975425674218
Max_Frecuencia,,,,1.0,,
N,0.7781803867795113,0.12361807945624875,0.2345682576070415,,1.0,0.33305179245830613
Recur,0.47338586042538133,0.54847567796024,-0.1278975425674218,,0.33305179245830613,1.0
