,Time,Promedio_Frecuencia_Proc,Max_Temp,Max_Frecuencia,N,Recur
Time,1.0,0.3972799819717213,0.07162230705710831,,0.8877653286300007,0.611327385497474
Promedio_Frecuencia_Proc,0.3972799819717213,1.0,-0.20687475503237113,,0.16505900516562502,0.6918708178386788
Max_Temp,0.07162230705710831,-0.20687475503237113,1.0,,0.256430889559691,-0.14663784031146035
Max_Frecuencia,,,,,,
N,0.8877653286300007,0.16505900516562502,0.256430889559691,,1.0,0.4111309309668356
Recur,0.611327385497474,0.6918708178386788,-0.14663784031146035,,0.4111309309668356,1.0
