,Time,Promedio_Frecuencia_Proc,Max_Temp,Max_Frecuencia,N,Recur
Time,1.0,0.5118073207972083,-0.021886523049894496,,0.7249269574272369,0.7246615298877737
Promedio_Frecuencia_Proc,0.5118073207972083,1.0,-0.2168279033475887,,0.044895486065687704,0.7061507689488036
Max_Temp,-0.021886523049894496,-0.2168279033475887,1.0,,0.31552072011792337,-0.1531506150258235
Max_Frecuencia,,,,,,
N,0.7249269574272369,0.044895486065687704,0.31552072011792337,,1.0,0.3197225330820631
Recur,0.7246615298877737,0.7061507689488036,-0.1531506150258235,,0.3197225330820631,1.0
