,Time,PorCiento_Uso_Memoria,Promedio_Frecuencia_Proc,Promedio_Temp,Max_Temp,Max_Frecuencia,N,Recur
Time,1.0,0.8617293053459734,-0.12655891814836934,0.6053276415149754,0.6854657592919772,0.32489661386637325,0.8811078139645715,-0.2568206705946303
PorCiento_Uso_Memoria,0.8617293053459734,1.0,-0.20965408959171347,0.8524370035898394,0.8858308413588569,0.18071527090866257,0.9200351606878879,0.15290778427464316
Promedio_Frecuencia_Proc,-0.12655891814836934,-0.20965408959171347,1.0,-0.30477418785169846,-0.35466064065805314,0.6786965569420356,0.028268713323746135,0.009604925054636873
Promedio_Temp,0.6053276415149754,0.8524370035898394,-0.30477418785169846,1.0,0.9696438602653615,0.017454121648236676,0.7179104715985648,0.38098630046870685
Max_Temp,0.6854657592919772,0.8858308413588569,-0.35466064065805314,0.9696438602653615,1.0,-0.011409189156098301,0.7474395973717395,0.2730492584976874
Max_Frecuencia,0.32489661386637325,0.18071527090866257,0.6786965569420356,0.017454121648236676,-0.011409189156098301,1.0,0.47367848901126297,-0.10484641069868715
N,0.8811078139645715,0.9200351606878879,0.028268713323746135,0.7179104715985648,0.7474395973717395,0.47367848901126297,1.0,0.07216540878972551
Recur,-0.2568206705946303,0.15290778427464316,0.009604925054636873,0.38098630046870685,0.2730492584976874,-0.10484641069868715,0.07216540878972551,1.0
