,Time,PorCiento_Uso_Memoria,Promedio_Frecuencia_Proc,Promedio_Temp,Max_Temp,Max_Frecuencia,N,Recur
Time,1.0,0.7082033350981174,-0.08529341886433833,0.4107440445131848,0.509206619684936,0.27958777595413736,0.7552679647513271,-0.19275604901138915
PorCiento_Uso_Memoria,0.7082033350981174,1.0,-0.14243892368475697,0.6896972698085307,0.748313128020869,0.16657866221547185,0.8193829268096691,0.11902442845689609
Promedio_Frecuencia_Proc,-0.08529341886433833,-0.14243892368475697,1.0,-0.20489662405692435,-0.23714738131685648,0.49175848674831174,0.02173984998437616,0.004333167164142904
Promedio_Temp,0.4107440445131848,0.6896972698085307,-0.20489662405692435,1.0,0.8852765485230198,0.032387464218183316,0.5629460300992045,0.2926977882988672
Max_Temp,0.509206619684936,0.748313128020869,-0.23714738131685648,0.8852765485230198,1.0,0.032923039861456435,0.6094390368275237,0.20568152011920404
Max_Frecuencia,0.27958777595413736,0.16657866221547185,0.49175848674831174,0.032387464218183316,0.032923039861456435,1.0,0.36722254856494957,-0.07744019048431028
N,0.7552679647513271,0.8193829268096691,0.02173984998437616,0.5629460300992045,0.6094390368275237,0.36722254856494957,1.0,0.05778185990521758
Recur,-0.19275604901138915,0.11902442845689609,0.004333167164142904,0.2926977882988672,0.20568152011920404,-0.07744019048431028,0.05778185990521758,1.0
